Hybridization REF	TCGA-BA-5152-01	TCGA-BA-6869-01	TCGA-BA-A6DL-01	TCGA-BB-4227-01	TCGA-BB-7864-01	TCGA-CN-4725-01	TCGA-CN-4727-01	TCGA-CN-4730-01	TCGA-CN-4731-01	TCGA-CN-4736-01	TCGA-CN-4739-01	TCGA-CN-6988-01	TCGA-CN-A49C-01	TCGA-CN-A63W-01	TCGA-CN-A641-01	TCGA-CQ-5327-01	TCGA-CQ-6227-01	TCGA-CQ-7065-01	TCGA-CQ-7069-01	TCGA-CQ-A4C9-01	TCGA-CR-5247-01	TCGA-CR-6477-01	TCGA-CR-6480-01	TCGA-CR-7364-01	TCGA-CR-7365-01	TCGA-CR-7369-01	TCGA-CR-7385-01	TCGA-CV-6933-11	TCGA-CV-6934-11	TCGA-CV-6935-11	TCGA-CV-6936-11	TCGA-CV-6938-11	TCGA-CV-6939-11	TCGA-CV-6943-11	TCGA-CV-6952-01	TCGA-CV-6955-11	TCGA-CV-6956-01	TCGA-CV-6956-11	TCGA-CV-6959-11	TCGA-CV-6960-11	TCGA-CV-6961-11	TCGA-CV-6962-11	TCGA-CV-7089-01	TCGA-CV-7091-11	TCGA-CV-7095-01	TCGA-CV-7097-11	TCGA-CV-7101-11	TCGA-CV-7103-11	TCGA-CV-7177-11	TCGA-CV-7178-11	TCGA-CV-7183-11	TCGA-CV-7235-11	TCGA-CV-7238-11	TCGA-CV-7242-01	TCGA-CV-7242-11	TCGA-CV-7245-11	TCGA-CV-7250-01	TCGA-CV-7250-11	TCGA-CV-7252-11	TCGA-CV-7253-01	TCGA-CV-7255-01	TCGA-CV-7255-11	TCGA-CV-7261-11	TCGA-CV-7406-11	TCGA-CV-7409-01	TCGA-CV-7416-11	TCGA-CV-7423-11	TCGA-CV-7424-11	TCGA-CV-7425-11	TCGA-CV-7432-11	TCGA-CV-7434-11	TCGA-CV-7437-11	TCGA-CV-7438-11	TCGA-CV-7440-11	TCGA-CV-7568-01	TCGA-CV-A45R-01	TCGA-CX-7086-01	TCGA-D6-A6EO-01	TCGA-F7-7848-01	TCGA-H7-A6C4-01	TCGA-H7-A6C4-11	TCGA-H7-A6C5-11	TCGA-HD-7917-01	TCGA-HD-8224-01	TCGA-HD-8635-11	TCGA-HD-A6HZ-11	TCGA-HD-A6I0-11	TCGA-IQ-7632-01	TCGA-P3-A5QF-01	TCGA-P3-A6T8-01	TCGA-TN-A7HJ-01	TCGA-UF-A719-01	TCGA-UF-A71D-01	TCGA-WA-A7GZ-11
24	270.1967	78.4634	61.2653	8.9076	5.1419	10.6762	5.2762	5.0272	111.6258	13.5914	207.9305	26.9841	1.8217	4.1169	32.8947	58.6327	24.5712	1.3699	50.0658	32.3741	112.2181	127.6724	15.1715	89.4225	5.6604	12.3383	1.3664	3.7653	80.4514	15.6184	18.9594	657.29	14.7441	10.2197	42.6457	17.6755	1.8132	1.1725	11.4272	2.154	9.7579	7.348	2.0202	51.2214	1.0516	9.0234	18.5687	8.7236	10.8164	207.4074	6.0096	9.4375	11.1165	204.4978	20.8595	42.5821	4.9583	7.0385	5.4536	600.1105	8.7301	2.5199	12.1689	5.6338	12.5139	9.8135	7.8182	28.0088	2.5575	3.8954	17.5767	11.8065	5.9199	46.4889	2.1699	50.5294	2.5482	500.0384	440.115	24.381	7.8007	82.3397	16.835	70.8801	1.9724	3.736	6.9337	6.5717	3.2634	23.1712	7.9117	20.0136	1.5773	17.9718
23456	429.9546	446.2607	311.6537	653.2228	358.4611	428.9874	482.0572	268.9568	432.6077	301.8946	500.3105	407.9365	323.8074	383.2853	571.5461	457.0467	246.0311	364.3836	308.8477	458.3762	401.1536	285.4562	394.4591	620.4218	312.0755	414.7031	398.9752	279.887	394.9763	412.8324	387.1252	353.4073	392.0208	480.838	259.2856	506.0117	505.893	227.4659	360.1548	547.6575	396.4128	394.083	367.6768	461.7809	480.598	388.0042	518.3752	425.1607	364.4306	264.8148	540.8654	400.151	398.7434	362.0074	457.7499	461.8218	421.0052	493.777	518.592	411.0173	286.182	415.7917	571.9399	400.5634	207.8074	459.2738	355.2407	460.8315	415.3453	285.6633	332.8347	429.4176	425.7741	484.0702	336.9498	402.3099	435.02	333.9728	451.99	271.2381	403.0336	552.7802	298.8215	521.5594	541.7488	195.5168	197.2265	431.5444	404.1958	366.9675	499.0935	406.7164	526.8139	471.7587
5825	1323.4493	514.9162	1074.3618	1167.8832	943.1641	1245.8751	526.6654	1289.9036	578.9717	1073.3114	1108.1345	993.6508	1037.9142	699.4648	877.0559	1089.0304	926.3662	1084.4749	576.0822	669.0647	810.6974	1043.8623	1922.4934	1425.65	541.1321	1056.2934	1182.579	1113.9002	1805.6061	2260.4474	1429.0123	2114.897	1140.503	2670.4139	921.5725	1653.273	900.272	1400.5569	1463.4737	1399.0307	1560.0367	2195.8813	713.9394	1301.8125	767.169	1243.6306	2640.619	1751.1478	3192.9277	1790.7407	3821.5144	1276.3307	1473.6588	942.4105	1936.8421	1265.4614	674.7803	1614.5209	2528.0119	756.6885	1258.4913	1754.3049	1809.2341	1221.9718	582.8466	1457.8018	1014.9035	1969.3654	1004.6036	986.4039	1494.7644	2223.6615	1480.8743	2157.0221	670.1798	1191.0491	869.676	803.3152	631.5985	958.9841	1277.5731	1779.8418	556.3973	832.8411	1756.0815	813.2005	470.7242	746.988	854.5455	620.2344	1032.4707	631.2754	727.918	2107.1887
27	839.6369	504.6996	651.7203	1207.9673	986.5026	1374.9596	1554.5744	621.7009	1463.1774	1148.2702	702.5636	489.8413	383.9235	827.9127	522.2039	693.0193	1499.4815	773.9726	3113.8348	577.0812	625.0655	1332.5304	448.5488	990.4605	1473.9623	1487.1048	541.7592	483.8406	616.6727	338.9616	1141.0935	895.8003	542.0642	343.8937	1442.2759	637.5501	1330.0091	509.4533	533.1395	424.3403	325.0585	314.0288	898.5859	947.9905	1668.9474	847.6645	312.5725	458.2185	578.2631	416.0494	88.3413	736.1268	652.9725	1297.7999	431.4824	1727.6703	1110.2096	323.229	726.822	2595.2174	2004.6378	562.7887	304.5812	886.7606	1123.6008	568.2041	407.0364	482.2757	336.5729	584.3112	939.7906	276.271	496.8124	436.606	1269.6838	1116.9394	1201.6746	753.8946	638.6492	2197.3333	492.3077	516.6311	880.0505	962.1973	495.069	419.6762	1180.2773	907.448	337.9953	1408.056	987.638	601.7639	1362.776	379.9743
34	598.1846	1414.7936	1596.4484	1000.6186	592.0485	842.4458	1577.1184	1073.3138	498.3789	887.1499	600.3726	493.0159	825.2306	1047.7563	1176.398	376.7872	685.1217	308.2192	479.8518	1038.0267	711.0645	479.3737	1682.3879	892.9474	343.0189	710.479	1108.7959	1735.1741	997.4518	1424.2296	758.3774	2528.9223	5383.3478	1211.5483	513.8801	854.1774	739.3472	2064.7809	1537.9478	888.5299	731.839	1613.8451	541.4141	7604.4129	489.5369	2748.9384	1517.6015	676.3085	2328.8612	3900	2914.6635	1044.5451	2325.2779	1009.9147	1864.2202	2316.8512	1161.5957	3108.3047	889.9355	895.2727	582.1852	1404.4519	802.0759	4747.6056	1079.2332	738.9598	610.7989	1459.081	469.0537	775.6191	1425.5797	1015.6925	764.5719	1127.7633	996.5902	739.6535	925.3731	1392.0651	1727.433	692.3175	4669.9892	1391.2389	1028.6195	2186.0602	1268.902	496.8867	352.0801	605.1479	1208.8578	375.0505	547.2227	578.019	1074.9211	4780.4878
116983	1524.3601	1215.3658	1124.1509	831.1172	731.4039	999.8544	732.9331	819.4596	575.271	1128.1178	1805.9044	1094.6762	1708.414	1961.8444	1280.773	1054.5428	719.2692	846.5845	1807.9032	1631.665	839.5385	811.4062	1462.6319	574.531	624.5283	859.2511	1384.9564	1488.6351	540.2694	1399.7974	1230.1808	718.3796	545.5334	1332.652	871.6899	744.0386	1241.65	1166.1615	1346.1318	837.4206	1718.7238	1445.2673	1049.4424	593.3806	687.7704	584.9575	1029.795	1673.1267	1372.5013	898.7654	724.1587	791.6308	936.2156	1305.1327	1079.6987	982.9294	837.5479	877.6833	1571.7105	989.6804	1449.7449	1000.63	1207.0938	843.9437	738.3229	1933.9794	1480.601	1149.3173	1215.8824	1031.1189	682.8721	1345.4063	1180.3324	682.0774	917.8549	2148.744	1691.4234	1138.8504	1563.4103	1361.8743	1385.2568	550.315	1053.9184	1441.2581	1700.9336	3328.8045	1301.2635	923.3352	907.7063	2253.8004	1639.466	1811.1703	539.4716	1739.2555
64746	1916.4902	1694.3196	1549.3896	3586.2922	1481.223	2022.3229	1727.7312	1320.486	1453.4507	1156.5074	1757.4736	2082.5397	1101.6737	1317.8263	1567.4342	1295.6867	1426.7252	1437.4429	1607.3083	1489.2086	1346.0933	1466.225	2672.1636	3234.5392	1761.5094	2262.017	1576.772	1824.2862	2015.6534	2711.6927	2238.0952	1599.0491	1246.314	3153.8068	2135.2677	2269.0371	1970.5349	2020.2257	1611.6337	2593.4303	2096.1088	2324.2773	2143.0303	1323.8771	2052.7948	1432.5902	3220.5029	1545.9137	2660.8424	1158.0247	2769.8317	1610.419	1997.1	1677.6761	2513.5683	1675.4105	2351.1382	2393.6275	2670.7982	1983.111	2297.3673	2304.0739	2923.0494	1922.8169	1186.1706	2347.8901	1569.9976	2712.035	1761.1253	1054.3572	1555.7218	2286.7417	1872.9508	3131.3394	2380.9671	1716.0731	2447.0331	1160.924	1857.3151	2258.2857	995.883	1945.5253	1736.532	2253.3963	2397.1072	600.2491	764.2527	2003.8335	1335.1981	1553.5498	1893.5223	2019.3351	2419.5584	1591.7843
26027	1217.8638	663.2244	650.8324	227.3463	455.3925	752.6367	395.2149	955.3289	715.8731	640.5643	486.7595	473.8159	1278.5927	755.0309	770.6949	782.7899	612.6621	677.6621	524.7159	421.5159	240.5663	684.7576	364.9208	601.8857	562.7208	1046.8649	424.3553	502.8805	238.0779	1569.9831	700.5379	122.1236	506.5048	984.0828	890.2578	461.749	535.9112	1246.0501	471.858	1174.378	1615.8699	1132.2556	726.9172	189.9133	953.6294	213.2696	885.7795	761.8871	1335.7546	209.8765	821.0517	155.5379	479.1977	727.2643	1284.6702	392.6685	501.2125	874.9599	698.8994	304.5379	1676.418	636.0857	1018.6722	498.4563	474.0511	596.9578	868.3118	486.6521	1553.6777	413.5928	226.8998	1248.1143	720.51	444.5351	268.3354	1717.7623	454.2082	880.1013	1068.8969	1379.007	439.0206	167.27	406.6709	128.1748	1085.7857	446.5878	203.3898	835.4272	344.1212	1172.5394	1039.967	1362.8494	274.4006	594.0565
11332	2139.1831	1919.0846	3221.3097	1812.1984	1865.0262	1399.2236	4460.8275	4205.6975	2179.7128	1916.3921	1588.2196	1791.1111	1614.0271	1863.7299	2126.6447	3203.6525	1935.3809	1498.6301	1982.477	992.2919	2655.4798	3778.38	1135.8839	1288.5355	2080.3774	1974.4666	1268.6593	240.979	469.2392	955.6775	1105.8201	784.8653	180.399	885.5391	2230.794	1154.6604	2854.0345	1097.4645	1205.3759	1020.4631	1600.2879	792.8067	2727.2727	164.6966	2323.5912	511.1465	596.1315	993.1129	766.7187	671.6049	850.9615	391.4685	589.1735	2056.8904	852.535	420.014	1794.9065	876.5625	813.5845	1039.8548	1124.8124	1044.0991	857.5519	961.6901	2284.7435	1875.368	1223.5524	600.8753	1886.445	237.6199	593.1189	1421.8345	1343.3515	663.5241	649.411	1949.9519	1445.213	2704.0135	1037.5731	1903.746	627.519	335.8855	2465.9091	1455.9953	1155.1611	1014.944	1793.5285	1837.3494	2169.2308	3222.9557	1477.5012	1173.6771	1402.2082	379.9743
81569	214.2209	3.2693	0.444	1.4846	6.2437	0.3235	0	2.0947	4.6318	0.4119	29.8057	1.5873	814.7558	1.2351	4.9342	0.9612	1.5955	1.8265	0.6502	3.5971	0	28.5055	985.4881	3.4066	0.3774	2.3991	3.4159	0	0.364	3.377	3.9683	0	0	0.511	0	8.2211	0.4533	0.5863	0.394	2.154	1.8296	0.7735	0.404	0	27.3426	0.5308	0.3868	0.4591	2.4961	0	0	0	0.9667	0.3309	2.704	0.3871	11.7196	0	0	9.7861	0.5456	3.3599	2.1475	0.5634	0	1.9627	0	0.4376	4.6036	0	4.1137	1.012	0.9107	0.3251	0.62	1.9249	7.2807	0	13.7304	1.5238	0	0	5.4714	0.5907	0	0	0	9.31	396.7366	0.5389	1.9779	7.1235	1.5773	0.6418
